model,horizon,context_length,mse,mae,rmse,smape,wape,mase,train_time_s,inference_time_s,gpu_memory_mb
ridge_ar,12.0,96.0,1485.883735856388,2.201761654299082,16.72766797834738,8.348901019350686,7.7058998787829465,1.3727000108430347,0.07597403713346766,0.1139699144987389,0.0
tabpfn_ts,12.0,96.0,1747.0143883382373,2.043604492938393,17.971314368761806,9.196565753633061,8.38056528829607,0.668927087568211,0.0,20.274833534145728,0.0
xgboost_ar,12.0,96.0,1558.1228671999704,2.3934978433195284,17.383202701636815,11.062886625668177,10.12444601893966,1.177012307391036,0.2716813661390915,0.1928047673621525,0.0
hist_gradient_boosting_ar,12.0,96.0,1545.6232451954945,2.415931473228754,17.356793837669866,11.734498511631623,11.682440637971574,1.125223249272285,0.3640779714720945,0.9609258538112044,0.0
lightgbm_ar,12.0,96.0,1630.3849923690714,2.4533814362656896,17.79921994468238,11.895547778521875,11.624869650303431,1.1579429647631498,0.34858941767985624,0.2873099656620373,0.0
moving_average,12.0,96.0,1868.4092207973051,3.530322735983417,20.090154878173873,16.812069992649484,16.913994512189443,3.027636862161224,0.00043924180014676665,0.07570818621510013,0.0
linear_trend,12.0,96.0,221.53090066720083,3.466586906604769,9.089563854867274,19.10993431025107,21.666356041521937,3.140899388340525,0.00044438184704628336,0.05280475046796098,0.0
dummy_mean,12.0,96.0,3359.4266000922867,4.723163420053193,26.722698758798686,20.634489290935065,21.301742695207313,8.175163638007456,0.0005792358812565166,0.04901466149991993,0.0
seasonal_naive,12.0,96.0,1752.3195048317914,4.91803635520694,21.283344139302013,21.4579789556751,29.27303432832481,4.010088712603969,0.00045037583913649996,0.05031514920604719,0.0
