run_id,model,dataset,domain,horizon,context_length,mse,mae,rmse,smape,wape,mase,train_time_s,inference_time_s,gpu_memory_mb
tabpfn_ts_20260527_121205,dummy_mean,synthetic_energy,energy,6,48,2.0484103319364544,1.2507821068177456,1.4312268624982045,9.356720082049602,9.666597449269245,3.2022852041545296,0.00039820303209125996,0.0015808860771358013,0.0
tabpfn_ts_20260527_121205,seasonal_naive,synthetic_energy,energy,6,48,2.2768470754490933,1.310943487475819,1.5089224882176995,9.953024527493815,10.131551213513163,3.356311951173648,0.00031254999339580536,0.001208537956699729,0.0
tabpfn_ts_20260527_121205,moving_average,synthetic_energy,energy,6,48,2.7063857432089673,1.490782106817744,1.6451096447376896,11.028366866252355,11.52142362177273,3.8167395082318656,0.0002925749868154526,0.0012261199299246073,0.0
tabpfn_ts_20260527_121205,linear_trend,synthetic_energy,energy,6,48,4.292446240050524,1.9666396838911249,2.0718219614750986,14.258102409511189,15.199061489855255,5.035042576400838,0.0002936189994215965,0.0014529970940202475,0.0
tabpfn_ts_20260527_121205,ridge_ar,synthetic_energy,energy,6,48,0.2890093459763584,0.4841652461479417,0.5375958946795989,3.7400789678590654,3.7418432098824996,1.2395725807511149,0.003431424032896757,0.002404581056907773,0.0
tabpfn_ts_20260527_121205,hist_gradient_boosting_ar,synthetic_energy,energy,6,48,2.5582069721616008,1.4402265512621912,1.599439580653674,10.678680867189277,11.130707923398171,3.687305846956322,0.07509279088117182,0.024571269983425736,0.0
tabpfn_ts_20260527_121205,lightgbm_ar,synthetic_energy,energy,6,48,0.5603735691150825,0.5583532272381012,0.7485810371062591,4.281305449905406,4.315200747429261,1.4295105986330183,0.06264985702000558,0.005290057975798845,0.0
tabpfn_ts_20260527_121205,xgboost_ar,synthetic_energy,energy,6,48,1.1889606723423087,0.9528794365347485,1.0903947323526049,7.518771620036074,7.364273825520984,2.4395869626898614,0.30155583494342864,0.008206229889765382,0.0
tabpfn_ts_20260527_121205,tabpfn_ts,synthetic_energy,energy,6,48,0.0015852711792382855,0.033167412201030665,0.03981546407161777,0.25023597818591337,0.25633243426951446,0.0849160799251274,0.0,1.5803124350495636,0.0
tabpfn_ts_20260527_121205,dummy_mean,stock_provided,finance,6,48,0.019206157001161035,0.1270850499471076,0.1385862799888973,0.1728300413279467,0.17270901166613672,1.4120417464919794,0.0004863359499722719,0.0015444240998476744,0.0
tabpfn_ts_20260527_121205,seasonal_naive,stock_provided,finance,6,48,0.019166463219638292,0.09999974568684895,0.1384429962823627,0.13578467888244644,0.13589999178997672,1.111096982746441,0.00031712092459201813,0.0012778348755091429,0.0
tabpfn_ts_20260527_121205,moving_average,stock_provided,finance,6,48,0.003906159935367389,0.05416636996799203,0.062499279478785905,0.07361052693543285,0.07361227954513724,0.6018424329420894,0.0002998609561473131,0.0012729568406939507,0.0
tabpfn_ts_20260527_121205,linear_trend,stock_provided,finance,6,48,0.09270324262962304,0.29907713144829745,0.30447207200270937,0.4056440112365149,0.40644683073167664,3.3230454345481952,0.00030436995439231396,0.0016936559695750475,0.0
tabpfn_ts_20260527_121205,ridge_ar,stock_provided,finance,6,48,0.03633653973279204,0.1557009227558576,0.1906214566432437,0.21127548003975627,0.21159807936387162,1.7299926544475328,0.0036924618761986494,0.0023768479004502296,0.0
tabpfn_ts_20260527_121205,hist_gradient_boosting_ar,stock_provided,finance,6,48,0.0030728944196501593,0.049999237060546875,0.05543369390226633,0.06794914488229511,0.06794913186391255,0.5555414271908855,0.02589123696088791,0.02532068593427539,0.0
tabpfn_ts_20260527_121205,lightgbm_ar,stock_provided,finance,6,48,0.0030570574365069484,0.049999237060546875,0.055290663194674634,0.06794914493293668,0.06794913186391255,0.5555414271908855,0.03373650508001447,0.004693519091233611,0.0
tabpfn_ts_20260527_121205,xgboost_ar,stock_provided,finance,6,48,0.00413435042517151,0.0560392654289501,0.06429891465002742,0.07615481069985973,0.07615755079577363,0.6226521708206897,0.18693116796202958,0.01208494696766138,0.0
tabpfn_ts_20260527_121205,tabpfn_ts,stock_provided,finance,6,48,0.008586975299598029,0.07537333170572917,0.09266593386783532,0.10240752132149196,0.10243261209952137,0.8374729441816569,0.0,1.1177460958715528,0.0
